Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
attributeValues (base attribute usage),属性値 (基本属性使用),"The base attribute usage is attributeValues from the Attributes library model, which is simply an alias for the feature dataValues from the KerML Base library model.","The base attribute usage is attributeValues from the Attributes library model, which is simply an alias for the feature dataValues from the KerML Base library model.",7.7.2,SysML2,7.7
basic name,基本名,"A basic name is one that can be lexically distinguished in itself from other parts of the textual notation. The initial character of a basic name must be a lowercase letter, an uppercase letter or an underscore. The remaining characters of a basic name can be any character allowed as an initial character or any digit.",A basic name is one that can be lexically distinguished in itself from other parts of the textual notation. Vehicle power_line,7.2.2,SysML2,7.2-7.3
Behavior,振る舞い,"The modeling of behavior, which specifies how parts interact and includes: Flows of values and items between parts and actions (see 7.16 ).","The modeling of behavior, which specifies how parts interact and includes: Flows of values and items between parts and actions (see 7.16 ).",7.1,SysML2,7.1
behavior,振る舞い,"(Implicitly defined as an aspect of a system model, representing how a system acts and reacts)","This includes representing the requirements, structure, and behavior of the system, and the specification of analysis cases and verification cases used to analyze and verify the system.",1,SysML2,1
binary connection definitions,バイナリ接続定義,"Connection definitions with exactly two connection ends are called binary connection definitions, and they classify binary connections.","Connection definitions with exactly two connection ends are called binary connection definitions, and they classify binary connections.",7.13.1,SysML2,7.13
Binary Interface,バイナリインターフェース,A binary interface definition or usage is an interface that has exactly two ends.,"For a binary interface definition or usage, the base definition and usage are further restricted to BinaryInterface and binaryInterfaces, which enforce that the interface has exactly two ends.",7.14.2,SysML2,7.14
binary relationships,二項関係,"Some relationships are constrained to have exactly two related elements (i.e., binary relationships) while others may have more.","Some relationships are constrained to have exactly two related elements (i.e., binary relationships) while others may have more.",7.2.3,SysML2,7.2-7.3
BinaryConnection,バイナリ接続,BinaryConnection is the most general class of binary links between two things within some containing structure.,BinaryConnection is the base type of all ConnectionDefinitions with exactly two ends.,9.2.6.2.1,SysML2,9.2
binaryConnections,バイナリ接続群,binaryConnections is the base feature of all binary ConnectionUsages.,binaryConnections is the base feature of all binary ConnectionUsages.,9.2.6.2.2,SysML2,9.2
BinaryInterface,バイナリインターフェース,BinaryInterface is the most general class of links between two PortUsages within some containing structure.,BinaryInterface is the base Type of all InterfaceDefinitions with exactly two ends.,9.2.7.2.1,SysML2,9.2
binaryInterfaces,バイナリインターフェース群,binaryInterfaces is the base feature of all binary InterfaceUsages.,binaryInterfaces is the base feature of all binary InterfaceUsages.,9.2.7.2.2,SysML2,9.2
binding,バインディング,"A binding can be declared as a usage as described in 7.6.3 , using the kind keyword binding.","A binding can be declared as a usage as described in 7.6.3 , using the kind keyword binding.",7.13.3,SysML2,7.13
Binding,バインディング,"Bindings and successions are special kinds of connections. They are usages, but, unlike regular connection usages, they are not part usages. The connections specified by bindings and successions are not occurrences and are not created and destroyed. Rather, they assert specific relationships between the features that they connect, which must be true at all times.",Bindings and successions are special kinds of connections.,7.13.1,SysML2,7.13
Binding-connector constraints,バインディングコネクタ制約,These constraints require that BindingConnectors exist between certain Features in a model.,"For a SysML model, it is allowable for binding-connector constraints to be satisfied by SysML BindingConnectorAsUsages, rather than plain KerML BindingConnectors.",8.4.1,SysML2,8.4
BindingConnectorAsUsage (semantics),バインディングコネクタ使用 (意味論),A BindingConnectorAsUsage is a kind of ConnectorAsUsage and a kind of KerML BindingConnector.,"The checkBindingConnectorSpecialization constraint requires that BindingConnectorAsUsages specialize the kernel Feature Links:selfLink, which is typed by the Association SelfLink (see [KerML, 9.2.3]).",8.4.9.3,SysML2,8.4
body,本体,(Implicit from context) A block of owned elements delimited by curly braces {...}.,"In addition to its declaration, the representation for an element may also list other elements owned by the containing element. In the textual notation, such owned elements are shown represented as a body delimited by curly braces {...}, particularly when the owning element is a namespace (see 7.5 ).",7.2.2,SysML2,7.2-7.3
body (ForLoopAction),ボディ (Forループアクション),The Action that is performed on each iteration of the loop.,body : Action [0..*] {redefines body},9.2.10.2.12,SysML2,9.2
body (LoopAction),ボディ (ループアクション),The Action that is performed repeatedly in the loop.,body : Action [0..*],9.2.10.2.19,SysML2,9.2
body (WhileLoopAction),ボディ (Whileループアクション),The Action that is performed while the whileTest is true and the untilTest is false.,"body : Action [0..*] {redefines body, body}",9.2.10.2.28,SysML2,9.2
Bounding Shapes,境界形状,"Some of these can be bounding shapes, which overlap the bounded item on all sides.","Some of these can be bounding shapes, which overlap the bounded item on all sides.",7.10.1,SysML2,7.10
boundingShapes,境界形状,envelopingShapes that are StructuredSpaceObjects with every face or every edge intersecting this Item.,boundingShapes : Item [0..*] {subsets envelopingShapes},9.2.3.2.1,SysML2,9.2
BrowserView,ブラウザビュー,ViewDefinition to present the hierarchical membership structure of model elements starting from an exposed root element.,"The typical rendering in graphical notation is as an indented list of rows, consisting of dynamically collapsible-expandable nodes that represent branches and leaves of the tree.",9.2.20.2.2,SysML2,9.2
Calculation,計算,Calculation is the most general class of evaluations of CalculationDefinitions in a system or part of a system.,Calculation is the base class of all CalculationDefinitions.,9.2.12.2.1,SysML2,9.2
calculation (keyword),calculation (キーワード),"A calculation definition or usage (that is not of a more specialized kind) is declared as an action definition or usage (see 7.17.2 ), but using the kind keyword calc instead of action.",calc def Velocity { in v_i : VelocityValue; in a : AccelerationValue; in dt : TimeValue; return v_f : VelocityValue; },7.19.2,SysML2,7.19
Calculation definition,計算定義,A calculation definition is a kind of action definition (see 7.17 ) that has a distinguished parameter with direction out called the result parameter (which is usually the only out parameter). A calculation definition specifies a reusable computation that returns a result in the result parameter.,calc def CalcDef1 { expression1 },7.19.1,SysML2,7.19
Calculation Definition (semantics),計算定義 (意味論),A CalculationDefinition is a kind of ActionDefinition and a kind of KerML Function.,"The checkCalculationDefinitionSpecialization constraint requires that a CalculationDefinition specialize the base CalculationDefinition Calculations::Calculation (see 9.2.12.2.1 ), which subclassifies the ActionDefinition Actions::Action (see 9.2.10.2.4 ) and the kernel Behavior Performances::Evaluation (see [KerML, 9.2.6]).",8.4.15.1,SysML2,8.4
Calculation usage,計算使用,A calculation usage is an action usage that is a usage of a calculation definition.,calc calc1 : CalcDef1 { expression1 },7.19.1,SysML2,7.19
Calculation Usage (semantics),計算使用 (意味論),A CalculationUsage is a kind of ActionUsage and a kind of KerML Expression.,"The checkCalculationUsageSpecialization requires that a CalculationUsage specialize the base CalculationUsage Calculations::calculations (see 9.2.12.2.2 ), which is defined by the CalculationDefinition Calculations::Calculation (see 9.2.12.2.1 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.4 ) and the kernel Step Performances::evaluations (see [KerML, 9.2.6]).",8.4.15.2,SysML2,8.4
